cocktail_id,material,recipe_content
1,"보드카 1½, 화이트 퀴라소 ½온스, 라임 주스 ½온스","셰이커에 보드카 1½, 화이트 퀴라소 ½온스, 라임 주스 ½온스와 얼음을 넣고 흔든 다음 칵테일 글라스에 따른다."
2,"스카치 위스키 1½온스, 아마렛토 ½온스",올드 패션드 글라스에 스카치 위스키 1½온스와 아마렛토 ½온스를 첨가한 후 얼음을 넣어 만든다.
3,"갈리아노 1온스, 화이트 퀴라소 ½온스, 오렌지 주스 ½온스, 생크림 ½온스","셰이커에 얼음과 갈리아노 1온스, 화이트 퀴라소 ½온스, 오렌지 주스 ½온스, 생크림 ½온스를 넣는다. 이 때 생크림이 들어가기 때문에 잘 흔들어 주어야 하며 적당한 거품으로 시각적인 효과도 좋다."
4,"갈리아노 1온스, 크렘 드 카카오(화이트) 1온스, 생크림 1온스","셰이커에 얼음과 갈리아노 1온스, 크렘 드 카카오(화이트) 1온스, 생크림 1온스를 넣고 잘 흔든 다음 칵테일 글라스에 따른다. 이 때 생크림을 사용하기 때문에 충분히 흔들어 주어야 한다."
5,"크렘 드 망트(그린) 1온스, 크렘 드 카카오(화이트) 1온스, 생크림 1온스","셰이커에 얼음과 크렘 드 카카오(화이트) 1온스, 크렘 드 망트(그린) 1온스, 생크림 1온스를 넣고 잘 흔든 다음 샴페인 글라스 또는 칵테일 글라스에 따른다."
6,"골든 럼 1온스, 미도리(멜론 리큐어) 1온스, 파인애플 주스 1½온스, 코코넛 밀크 ½온스, 라임 주스 ½온스","블렌더에 얼음과 골든 럼 1온스, 미도리(멜론 리큐어) 1온스, 파인애플 주스 1½온스, 코코넛 밀크 ½온스, 라임 주스 ½온스를 넣고 간 다음 트로피컬 글라스 또는 그랑드 글라스에 따르고 슬라이스 라임으로 장식한다."
7,"드라이 진 1½온스, 드라이 베르무트 ½온스","믹싱 글라스에 드라이 진 1½온스, 드라이 베르무트 ½온스와 얼음을 넣고 잘 저어준 후 차게 만든 칵테일 글라스에 칵테일 어니언 장식으로 마무리 한다."
8,"드라이 진 1½온스, 라임 주스 ½온스, 설탕시럽 1티스푼","드라이 진 1½온스, 라임 주스 ½온스와 설탕시럽 1티스푼을 얼음과 셰이커에 넣고 흔든 후 칵테일 글라스에 따른다."
9,"드라이 진 ⅔온스, 캄파리 ⅔온스, 스위트 베르무트 ⅔온스","얼음을 넣은 올드 패션드 글라스에 드라이 진 ⅔온스, 캄파리 ⅔온스, 스위트 베르무트 ⅔온스를 따르고 바스푼으로 가볍게 젓는다. 레몬필 또는 오렌지 슬라이스로 글라스 가장자리를 장식한다."
10,"아메리칸 위스키 1½온스, 라임 주스 또는 레몬 주스 ½온스, 그레나딘 시럽 1티스푼, 설탕 1티스푼","아메리칸 위스키 1½온스, 라임 주스 또는 레몬 주스 ½온스, 그레나딘 시럽 1티스푼, 설탕 1티스푼과 얼음을 셰이커에 넣고 흔든 다음 글라스에 따른다. 오렌지 슬라이스 또는 레몬필로 장식한다."
11,"브랜디 1온스, 설탕 1티스푼, 레몬 슬라이스 1장","리큐어 글라스에 브랜디를 적당량 따르고, 그 위에 설탕을 놓은 슬라이스 레몬를 뚜껑처럼 덮으면 된다."
12,"화이트 럼 1½온스, 라임 주스 ½온스, 설탕 2티스푼","셰이커에 얼음과 화이트 럼 1½온스, 라임 주스 ½온스, 설탕 2티스푼을 넣고 잘 흔든 다음 칵테일 글라스에 따른다. 이 레시피에 외에 가미하는 리큐어에 따라 '스트로베리 다이키리', '카시스 다이키리', '비터스 다이키리' 등이 된다."
13,"브랜디 1½온스, 오렌지 퀴라소 ½온스, 페르노 1대시","셰이커에 브랜디 1½온스, 오렌지 퀴라소 ½온스, 페르노(Pernod) 1대시를 얼음과 함께 넣고 흔든 다음 글라스에 따른다."
14,"스카치 위스키 1½온스, 드람브이 ½온스","올드 패션드 글라스에 스카치 위스키 1½온스, 드람브이 ½온스를 따른 후 크러시드 아이스(잘게 부순 얼음)를 넣고 가볍게 저어서 만든다."
15,"보드카 ⅔온스, 드라이 진 ⅔온스, 크렘 드 카카오 ⅔온스","셰이커에 얼음과 보드카 ⅔온스, 드라이 진 ⅔온스, 크렘 드 카카오 ⅔온스를 붓고 잘 흔든 다음 칵테일 글라스에 따른다."
