wine_id,wine_name,kind_id,country_id,cultivar,sweet_id,acid_id,body_id,tanin_id,proof,price,img
1,G7 까베르네 소비뇽 2016,1,14,Cabernet Sauvignon 100%,1,3,2,2,도수 정보가 없습니다.,"9,500원",https://dbscthumb-phinf.pstatic.net/3165_000_4/20170929021417921_MAW03365S.jpg/W0149589.jpg?type=m250&wm=N
2,"샴페인 드라피에, 까르뜨 도르 브뤼",3,17,"Pinot Noir 80%, Chardonnay 15%, Pinot Meunier 5%",1,5,3,1,도수 정보가 없습니다.,"132,000원",https://dbscthumb-phinf.pstatic.net/3165_000_10/20190601070954285_76GUYPXK7.jpg/W0155049.jpg?type=m250&wm=N
3,"옐로우 테일, 메를로 2017",1,19,Merlot,1,3,3,3,13~14도,가격정보없음,https://dbscthumb-phinf.pstatic.net/3165_000_4/20170929032547373_4Y7HD8MK5.jpg/W0142834.jpg?type=m250&wm=N
4,"팬마라, 골든 그레이스",2,19,"Semillon, Verdejo",4,1,4,1,11.5도,"50,000원",https://dbscthumb-phinf.pstatic.net/3165_000_10/20190401073302451_YN2IAE074.jpg/W0152995.jpg?type=m250&wm=N
5,"까스텔로 반피, 티아라 플래티넘 모스카토",2,11,"Moscato, Cortese",4,1,2,1,6.5~7.5도,가격정보없음,https://dbscthumb-phinf.pstatic.net/3165_000_4/20170929033029758_E186W0RW4.jpg/W0159484.jpg?type=m250&wm=N
6,몬테스 클래식 말벡 2016,1,14,Malbec 100%,1,3,3,3,도수 정보가 없습니다.,"24,000원",https://dbscthumb-phinf.pstatic.net/3165_000_4/20170929041339230_U2RE51PVE.jpg/W0158731.jpg?type=m250&wm=N
7,"블루 넌, 화이트 2017",2,4,Rivaner,3,4,3,1,10도,"18,000원",https://dbscthumb-phinf.pstatic.net/3165_000_4/20170929020143715_34QIANYKE.jpg/W0137352.jpg?type=m250&wm=N
8,컨티뉴엄 2018,1,6,"Cabernet Sauvignon 60%, Cabernet Franc 22%, Petit Verdot 18%",1,3,5,4,도수 정보가 없습니다.,가격정보없음,https://dbscthumb-phinf.pstatic.net/3165_000_4/20170929042216687_S0FB9ZWAE.jpg/W0150734.jpg?type=m250&wm=N
9,"파 니엔테, 샤도네이 2019",2,6,Chardonnay 100%,1,3,4,1,14~15도,"205,000원",https://dbscthumb-phinf.pstatic.net/3165_000_9/20180715080404629_I8BV7TAKD.jpg/W0156752.jpg?type=m250&wm=N
10,사시까이아 2017,1,11,"Cabernet Sauvignon 85%, Cabernet Franc 15%",1,3,5,4,13~14도,"583,000원",https://dbscthumb-phinf.pstatic.net/3165_000_4/20170929014407412_TFXE3D3Q0.jpg/W0154659.jpg?type=m250&wm=N
11,엠 바이 빌라 엠,2,11,Moscato 100%,4,1,2,1,3도,"20,000원",https://dbscthumb-phinf.pstatic.net/3165_000_4/20170929021709336_W59A9Y9PK.jpg/W0150990.jpg?type=m250&wm=N
12,샤또 오 브리옹 2017,1,17,"Merlot 43%, Cabernet Sauvignon 44%, Cabernet Franc 13%",1,4,5,4,13~14도,"980,000원",https://dbscthumb-phinf.pstatic.net/3165_000_10/20190801021831018_1RAUDI363.jpg/W0158648.jpg?type=m250&wm=N
13,"트라피체, 이스까이 말벡 까베르네 프랑 2013",1,8,"Malbec 70%, Cabernet Franc 30%",1,3,4,5,14~15도,"140,000원",https://dbscthumb-phinf.pstatic.net/3165_000_10/20190601071648196_L7CG33VK2.jpg/W0137439.jpg?type=m250&wm=N
14,"프리시전, 네비게이터 로제 2020",4,6,"Cabernet Sauvignon, Merlot, Zinfandel",1,4,2,1,12~13도,가격정보없음,https://dbscthumb-phinf.pstatic.net/3165_000_12/20210625012451540_R3DVGFAOR.png/W0168849.png?type=m250&wm=N
15,"나바로 꼬레아스, 레세르바 말벡 2017",1,8,Malbec 100%,1,3,4,4,14~15도,"50,000원",https://dbscthumb-phinf.pstatic.net/3165_000_8/20180112014352261_Q5U2RJBEY.jpg/W0162587.jpg?type=m250&wm=N
16,까스텔포르테 아마로네 델라 발폴리첼라 2015,1,11,"Corvina, Corvinone, Rondinella",2,3,5,4,14~15도,가격정보없음,https://dbscthumb-phinf.pstatic.net/3165_000_8/20171104012943880_DTAFT6JAQ.jpg/W0162277.jpg?type=m250&wm=N
17,"코노 수르, 비씨클레타 메를로 2015",1,14,"Merlot 85%, Other Grapes 15%",1,3,2,2,도수 정보가 없습니다.,"18,000원",https://dbscthumb-phinf.pstatic.net/3165_000_9/20181215012400367_OTEE7DE3Z.png/W0152273.png?type=m250&wm=N
18,"비에티, 랑게 네비올로 '페바코' 2017",1,11,Nebbiolo 100%,1,4,4,4,도수 정보가 없습니다.,"66,000원",https://dbscthumb-phinf.pstatic.net/3165_000_10/20190515073749807_09NFWSG72.jpg/W0139797.jpg?type=m250&wm=N
19,"몬테스, 퍼플 엔젤 2018",1,14,"Carmenere 92%, Petit Verdot 8%",1,3,5,5,14~15도,"220,000원",https://dbscthumb-phinf.pstatic.net/3165_000_12/20220129014633865_T519LJO3E.png/T0156982_010.png?type=m250&wm=N
20,시즌스 비달 아이스와인 2011,2,15,Vidal 100%,5,4,4,1,도수 정보가 없습니다.,"28,800원",https://dbscthumb-phinf.pstatic.net/3165_000_4/20170929022127557_AMSSUMS84.jpg/W0162000.jpg?type=m250&wm=N
21,"배비치, 포비든 바인 말보로 소비뇽 블랑 2017",2,2,Sauvignon Blanc 100%,1,3,2,1,12~13도,가격정보없음,https://dbscthumb-phinf.pstatic.net/3165_000_9/20180628012200659_QIE0M8RUU.jpg/W0163070.jpg?type=m250&wm=N
22,"샌드맨, 20년 숙성 올드 타니 포트",5,16,Blend,5,2,5,2,20도,가격정보없음,https://dbscthumb-phinf.pstatic.net/3165_000_4/20170929015048361_XLK3ABOI1.jpg/W0145177.jpg?type=m250&wm=N
23,"콘차이 토로, 디아블로 쉬라즈 2019",1,14,Syrah/Shiraz 100%,1,3,3,2,13.5도,"12,800원",https://dbscthumb-phinf.pstatic.net/3165_000_9/20180701075254022_PGVDKMDKW.jpg/W0138400.jpg?type=m250&wm=N
