wine_id,sweet_id,body_id,price,flavor
1,1,2,9500 ,2
2,1,3,132000 ,3
3,1,3,0 ,3
4,4,4,50000 ,19
5,4,2,0 ,17
6,1,3,24000 ,3
7,3,3,18000 ,13
8,1,5,0 ,5
9,1,4,205000 ,4
10,1,5,583000 ,5
11,4,2,20000 ,17
12,1,5,980000 ,5
13,1,4,140000 ,4
14,1,2,0 ,2
15,1,4,50000 ,4
16,2,5,0 ,10
17,1,2,18000 ,2
18,1,4,66000 ,4
19,1,5,220000 ,5
20,5,4,28800 ,24
21,1,2,0 ,2
22,5,5,0 ,25
23,1,3,12800 ,3
24,4,1,4400 ,16
25,1,4,88700 ,4
26,1,4,64000 ,4
27,1,4,48000 ,4
28,5,5,160000 ,25
29,1,3,22000 ,3
30,1,4,58000 ,4
31,3,2,53000 ,12
32,1,4,66000 ,4
33,1,3,43000 ,3
34,1,2,75000 ,2
35,1,3,0 ,3
36,1,5,1000000 ,5
37,1,4,77000 ,4
38,1,4,0 ,4
39,1,4,69000 ,4
40,1,3,0 ,3
41,1,4,99000 ,4
42,1,4,190000 ,4
43,1,3,1284000 ,3
44,4,3,34000 ,18
45,3,2,12000 ,12
46,2,3,0 ,8
47,1,5,0 ,5
48,1,4,184000 ,4
49,2,5,97000 ,10
50,2,5,66000 ,10
51,1,2,46000 ,2
52,1,2,55000 ,2
53,1,3,0 ,3
54,1,3,0 ,3
55,1,4,70000 ,4
56,5,5,60000 ,25
57,1,4,0 ,4
58,1,3,45000 ,3
59,1,4,500000 ,4
60,4,2,47000 ,17
61,2,5,0 ,10
62,1,3,165000 ,3
63,1,3,25000 ,3
64,1,3,31000 ,3
65,1,4,0 ,4
66,1,4,90000 ,4
67,3,5,220000 ,15
68,4,2,0 ,17
69,1,3,24000 ,3
70,1,2,0 ,2
71,1,4,0 ,4
72,2,3,0 ,8
73,1,3,0 ,3
74,1,4,350000 ,4
75,1,4,0 ,4
76,1,4,26000 ,4
77,1,4,0 ,4
78,4,3,60000 ,18
79,1,3,97000 ,3
80,1,3,62000 ,3
81,1,3,1080000 ,3
82,1,3,143000 ,3
83,1,4,20700 ,4
84,1,2,0 ,2
85,5,4,50000 ,24
86,1,4,2109000 ,4
87,1,4,300000 ,4
88,1,4,0 ,4
89,1,4,45000 ,4
90,1,3,29800 ,3
91,1,4,0 ,4
92,1,3,320000 ,3
93,1,2,58000 ,2
94,2,5,50000 ,10
95,1,5,320000 ,5
96,1,4,180000 ,4
97,2,2,60000 ,7
98,1,4,0 ,4
99,1,4,0 ,4
100,1,3,46000 ,3
101,4,2,22000 ,17
102,1,3,45000 ,3
103,1,4,0 ,4
104,1,4,59000 ,4
105,1,5,82000 ,5
106,1,5,660000 ,5
107,1,3,420000 ,3
108,4,2,0 ,17
109,1,4,120000 ,4
110,1,5,650000 ,5
111,1,5,449000 ,5
112,1,2,190000 ,2
113,1,4,39000 ,4
114,1,4,0 ,4
115,1,4,418000 ,4
116,1,3,0 ,3
117,1,3,9900 ,3
118,1,3,180000 ,3
119,2,5,1360000 ,10
120,3,2,9900 ,12
121,1,3,0 ,3
122,1,3,0 ,3
123,5,4,44000 ,24
124,4,3,51000 ,18
125,1,4,0 ,4
126,1,4,47000 ,4
127,1,3,14990 ,3
128,1,4,40000 ,4
129,1,4,0 ,4
130,1,5,430000 ,5
131,1,5,100000 ,5
132,1,4,60000 ,4
133,1,5,120000 ,5
134,1,3,40000 ,3
135,1,4,140000 ,4
136,1,5,144000 ,5
137,1,3,50000 ,3
138,1,5,140000 ,5
139,4,2,18000 ,17
140,1,4,48000 ,4
141,1,4,0 ,4
142,4,2,24000 ,17
143,4,3,0 ,18
144,1,4,75000 ,4
145,1,4,22000 ,4
146,1,4,0 ,4
147,1,3,4900 ,3
148,1,3,200000 ,3
149,5,3,0 ,23
150,1,5,110000 ,5
151,4,3,0 ,18
152,2,4,0 ,9
153,4,5,37000 ,20
154,1,4,410000 ,4
155,1,2,30000 ,2
156,1,3,700000 ,3
157,1,3,62000 ,3
158,1,3,0 ,3
159,3,3,18000 ,13
160,2,5,35000 ,10
161,1,3,45000 ,3
162,1,3,85000 ,3
163,4,3,28000 ,18
164,1,3,0 ,3
165,1,3,340000 ,3
166,5,5,120000 ,25
167,4,3,32000 ,18
168,1,3,180000 ,3
169,1,2,0 ,2
170,1,5,35000 ,5
171,1,4,58000 ,4
172,1,4,195000 ,4
173,4,2,32000 ,17
174,1,3,0 ,3
175,1,3,34800 ,3
176,4,2,0 ,17
177,1,3,410000 ,3
178,1,4,0 ,4
179,2,4,0 ,9
180,5,4,20000 ,24
181,1,4,165000 ,4
182,1,5,210000 ,5
183,4,1,32000 ,16
184,1,4,0 ,4
185,1,4,115000 ,4
186,1,4,75000 ,4
187,1,5,1350000 ,5
188,1,2,30000 ,2
189,2,2,50000 ,7
190,1,3,145000 ,3
191,1,3,208000 ,3
192,1,3,22000 ,3
193,1,3,55000 ,3
194,1,3,0 ,3
195,1,4,0 ,4
196,1,4,101000 ,4
197,1,5,0 ,5
198,1,3,210000 ,3
199,1,4,0 ,4
200,3,2,20000 ,12
201,1,3,0 ,3
202,1,4,0 ,4
203,5,5,153000 ,25
204,4,3,25000 ,18
205,1,4,160000 ,4
206,2,5,399000 ,10
207,1,3,100000 ,3
208,2,5,170000 ,10
209,1,4,0 ,4
210,1,3,29900 ,3
211,1,2,50000 ,2
212,5,2,90000 ,22
213,1,3,218000 ,3
214,4,3,0 ,18
215,1,4,400000 ,4
216,1,4,48000 ,4
217,1,3,85000 ,3
218,1,5,0 ,5
219,5,5,0 ,25
220,1,5,500000 ,5
221,1,5,384000 ,5
222,1,3,0 ,3
223,1,4,110000 ,4
224,5,4,0 ,24
225,1,1,25000 ,1
226,5,4,182000 ,24
227,1,3,39000 ,3
228,1,5,180000 ,5
229,1,4,390000 ,4
230,1,4,80000 ,4
231,1,2,0 ,2
232,1,3,0 ,3
233,1,3,49000 ,3
234,1,4,110000 ,4
235,1,4,330000 ,4
236,1,3,32900 ,3
237,1,5,90000 ,5
238,1,4,136000 ,4
239,1,4,100000 ,4
240,1,3,66000 ,3
241,2,2,0 ,7
242,2,2,38000 ,7
243,1,3,20000 ,3
244,1,4,280000 ,4
245,1,3,60000 ,3
246,1,3,43000 ,3
247,1,4,171000 ,4
248,1,3,40000 ,3
249,1,4,132000 ,4
250,1,3,850000 ,3
251,1,3,28000 ,3
252,1,3,230000 ,3
253,1,2,34000 ,2
254,3,2,4990 ,12
255,1,4,35000 ,4
256,1,3,18000 ,3
257,1,4,60000 ,4
258,5,4,84000 ,24
259,1,3,0 ,3
260,5,5,70000 ,25
261,1,4,38900 ,4
262,1,5,475000 ,5
263,1,4,0 ,4
264,1,4,165000 ,4
265,1,4,112000 ,4
266,1,3,0 ,3
267,5,3,19000 ,23
268,1,4,0 ,4
269,1,4,0 ,4
270,1,3,112000 ,3
271,1,4,130000 ,4
272,1,3,38900 ,3
273,1,2,15800 ,2
274,1,3,55000 ,3
275,1,4,100000 ,4
276,1,3,70000 ,3
277,1,5,50000 ,5
278,1,3,0 ,3
279,1,5,0 ,5
280,1,5,0 ,5
281,1,4,0 ,4
282,1,3,18000 ,3
283,1,5,1510000 ,5
284,5,5,352000 ,25
285,1,3,71000 ,3
286,1,3,75000 ,3
287,1,4,0 ,4
288,1,3,38000 ,3
289,1,3,0 ,3
290,1,3,130000 ,3
291,1,5,231000 ,5
292,5,5,130000 ,25
293,1,4,490000 ,4
294,4,2,30000 ,17
295,1,4,50000 ,4
296,4,3,12000 ,18
297,4,3,31000 ,18
298,1,3,0 ,3
299,1,4,60000 ,4
300,4,2,20000 ,17
301,1,5,199000 ,5
302,1,4,54000 ,4
303,1,5,3600000 ,5
304,1,4,35000 ,4
305,1,5,0 ,5
306,1,3,170000 ,3
307,5,4,90000 ,24
308,4,3,25000 ,18
309,5,5,30000 ,25
310,4,2,30000 ,17
311,1,5,250000 ,5
312,1,4,64000 ,4
313,1,4,0 ,4
314,1,3,45000 ,3
315,1,5,198000 ,5
316,1,3,45000 ,3
317,1,5,165000 ,5
318,1,4,195000 ,4
319,1,4,74500 ,4
320,1,3,0 ,3
321,1,3,49000 ,3
322,1,4,0 ,4
323,1,3,40000 ,3
324,4,2,10800 ,17
325,1,4,160000 ,4
326,1,5,80000 ,5
327,1,4,560000 ,4
328,1,3,135000 ,3
329,1,4,0 ,4
330,1,5,163000 ,5
331,1,4,500000 ,4
332,2,4,0 ,9
333,1,4,184000 ,4
334,1,2,35000 ,2
335,2,3,24000 ,8
336,1,3,0 ,3
337,1,3,56000 ,3
338,1,5,44000 ,5
339,1,3,69000 ,3
340,1,3,24000 ,3
341,1,3,0 ,3
342,2,3,0 ,8
343,1,4,0 ,4
344,1,4,95000 ,4
345,1,3,0 ,3
346,1,3,69000 ,3
347,1,3,0 ,3
348,4,2,12000 ,17
349,1,4,0 ,4
350,1,4,0 ,4
351,1,4,0 ,4
352,1,3,170000 ,3
353,2,3,0 ,8
354,1,5,350000 ,5
355,5,4,90000 ,24
356,1,3,0 ,3
357,1,2,20000 ,2
358,1,5,286000 ,5
359,1,5,1200000 ,5
360,1,4,344000 ,4
361,1,3,88000 ,3
362,3,2,9900 ,12
363,1,3,62000 ,3
364,1,3,60000 ,3
365,1,5,0 ,5
366,1,3,70000 ,3
367,4,2,34000 ,17
368,1,3,0 ,3
369,2,3,0 ,8
370,1,1,30000 ,1
371,4,2,0 ,17
372,1,4,64000 ,4
373,1,4,47000 ,4
374,1,3,20000 ,3
375,1,4,80000 ,4
376,1,4,170000 ,4
377,1,4,0 ,4
378,2,4,0 ,9
379,1,5,90000 ,5
380,1,4,77000 ,4
381,1,3,0 ,3
382,1,4,0 ,4
383,1,3,80000 ,3
384,1,3,364000 ,3
385,1,5,750000 ,5
386,1,3,40000 ,3
387,1,5,0 ,5
388,1,4,75000 ,4
389,1,3,164000 ,3
390,1,3,0 ,3
391,1,4,0 ,4
392,1,4,0 ,4
393,1,3,290000 ,3
394,3,5,0 ,15
395,1,5,160000 ,5
396,1,4,140000 ,4
397,3,3,19000 ,13
398,1,5,160000 ,5
399,1,1,21000 ,1
400,1,3,67000 ,3
401,1,4,0 ,4
402,1,2,65000 ,2
403,1,5,690000 ,5
404,1,3,30000 ,3
405,1,2,6480 ,2
406,1,4,25000 ,4
407,5,4,44000 ,24
408,3,3,14900 ,13
409,1,4,450000 ,4
410,4,3,11000 ,18
411,3,2,0 ,12
412,1,3,44000 ,3
413,1,3,99000 ,3
414,1,5,260000 ,5
415,1,4,157000 ,4
416,1,5,0 ,5
417,1,3,27000 ,3
418,1,2,25000 ,2
419,1,4,44000 ,4
420,1,2,18000 ,2
421,1,3,22000 ,3
422,1,3,0 ,3
423,1,4,120000 ,4
424,1,3,48000 ,3
425,1,5,1055000 ,5
426,1,3,20000 ,3
427,1,3,95000 ,3
428,1,5,498000 ,5
429,1,4,0 ,4
430,3,2,22000 ,12
431,1,2,202000 ,2
432,1,4,80000 ,4
433,1,4,19800 ,4
434,2,2,0 ,7
435,1,4,100000 ,4
436,1,4,46000 ,4
437,1,3,45000 ,3
438,5,4,110000 ,24
439,1,3,268000 ,3
440,1,3,31000 ,3
441,1,4,35000 ,4
442,1,4,80000 ,4
443,1,4,0 ,4
444,1,3,0 ,3
445,1,4,190000 ,4
446,1,2,38000 ,2
447,5,4,50000 ,24
448,1,3,150000 ,3
449,1,4,223000 ,4
450,1,4,100000 ,4
451,1,3,0 ,3
452,1,2,0 ,2
453,1,3,130000 ,3
454,1,5,230000 ,5
455,1,2,60000 ,2
456,3,2,30000 ,12
457,1,3,60000 ,3
458,1,4,130000 ,4
459,1,4,240000 ,4
460,1,3,24000 ,3
461,2,2,0 ,7
462,1,3,0 ,3
463,1,5,220000 ,5
464,1,2,0 ,2
465,1,4,45000 ,4
466,1,4,240000 ,4
467,1,4,80000 ,4
468,1,1,54000 ,1
469,1,3,80000 ,3
470,1,4,0 ,4
471,1,4,166000 ,4
472,1,4,312000 ,4
473,1,3,120000 ,3
474,2,3,48000 ,8
475,2,2,5500 ,7
476,1,4,29000 ,4
477,1,4,17800 ,4
478,4,2,46000 ,17
479,1,4,400000 ,4
480,1,3,150000 ,3
481,1,3,336000 ,3
482,1,3,138000 ,3
483,1,3,125000 ,3
484,1,4,0 ,4
485,1,3,34000 ,3
486,1,5,120000 ,5
487,1,4,55000 ,4
488,1,4,63000 ,4
489,1,3,0 ,3
490,1,3,0 ,3
491,1,3,58000 ,3
492,1,2,210000 ,2
493,1,4,130000 ,4
494,3,2,0 ,12
495,1,4,42000 ,4
496,1,3,0 ,3
497,3,3,34000 ,13
498,1,5,300000 ,5
499,1,3,35000 ,3
500,1,3,36000 ,3
501,2,5,0 ,10
502,1,4,55000 ,4
503,1,3,60000 ,3
504,1,4,48000 ,4
505,1,4,90000 ,4
506,1,4,0 ,4
507,1,3,60000 ,3
508,1,3,50000 ,3
509,1,3,45000 ,3
510,1,3,14000 ,3
511,2,2,19000 ,7
512,1,4,1300000 ,4
513,1,3,0 ,3
514,1,2,35000 ,2
515,5,5,170000 ,25
516,2,3,35000 ,8
517,1,2,50000 ,2
518,1,2,60000 ,2
519,3,2,42000 ,12
520,1,4,0 ,4
521,1,3,42000 ,3
522,4,2,0 ,17
523,1,4,85000 ,4
524,1,4,0 ,4
525,1,4,0 ,4
526,1,4,150000 ,4
527,1,4,0 ,4
528,1,3,459000 ,3
529,1,4,55000 ,4
530,1,4,0 ,4
531,1,4,90000 ,4
532,3,2,9900 ,12
533,1,3,110000 ,3
534,1,3,27500 ,3
535,1,4,0 ,4
536,4,2,11500 ,17
537,1,5,480000 ,5
538,1,4,93000 ,4
539,1,4,0 ,4
540,1,4,90000 ,4
541,5,4,185000 ,24
542,4,3,0 ,18
543,1,4,180000 ,4
544,1,4,0 ,4
545,4,3,25000 ,18
546,1,4,80000 ,4
547,1,5,0 ,5
548,2,2,32000 ,7
549,1,5,0 ,5
550,2,2,25000 ,7
551,1,4,0 ,4
552,1,2,0 ,2
553,5,4,54000 ,24
554,1,4,90000 ,4
555,4,2,17000 ,17
556,3,3,0 ,13
557,2,3,0 ,8
558,1,2,25000 ,2
559,1,3,90000 ,3
560,1,3,291000 ,3
561,1,3,93000 ,3
562,1,4,266000 ,4
563,1,5,0 ,5
564,1,4,0 ,4
